Date,Column1,Quarter,Month,Day
44377,2021,Qtr 3,Jul,Wed
44378,2021,Qtr 3,Jul,Thu
44379,2021,Qtr 3,Jul,Fri
44380,2021,Qtr 3,Jul,Sat
44381,2021,Qtr 3,Jul,Sun
44382,2021,Qtr 3,Jul,Mon
44383,2021,Qtr 3,Jul,Tue
44384,2021,Qtr 3,Jul,Wed
44385,2021,Qtr 3,Jul,Thu
44386,2021,Qtr 3,Jul,Fri
44387,2021,Qtr 3,Jul,Sat
44388,2021,Qtr 3,Jul,Sun
44389,2021,Qtr 3,Jul,Mon
44390,2021,Qtr 3,Jul,Tue
44391,2021,Qtr 3,Jul,Wed
44392,2021,Qtr 3,Jul,Thu
44393,2021,Qtr 3,Jul,Fri
44394,2021,Qtr 3,Jul,Sat
44395,2021,Qtr 3,Jul,Sun
44396,2021,Qtr 3,Jul,Mon
44397,2021,Qtr 3,Jul,Tue
44398,2021,Qtr 3,Jul,Wed
44399,2021,Qtr 3,Jul,Thu
44400,2021,Qtr 3,Jul,Fri
44401,2021,Qtr 3,Jul,Sat
44402,2021,Qtr 3,Jul,Sun
44403,2021,Qtr 3,Jul,Mon
44404,2021,Qtr 3,Jul,Tue
44405,2021,Qtr 3,Jul,Wed
44406,2021,Qtr 3,Jul,Thu
44407,2021,Qtr 3,Jul,Fri
44408,2021,Qtr 3,Aug,Sat
44409,2021,Qtr 3,Aug,Sun
44410,2021,Qtr 3,Aug,Mon
44411,2021,Qtr 3,Aug,Tue
44412,2021,Qtr 3,Aug,Wed
44413,2021,Qtr 3,Aug,Thu
44414,2021,Qtr 3,Aug,Fri
44415,2021,Qtr 3,Aug,Sat
44416,2021,Qtr 3,Aug,Sun
44417,2021,Qtr 3,Aug,Mon
44418,2021,Qtr 3,Aug,Tue
44419,2021,Qtr 3,Aug,Wed
44420,2021,Qtr 3,Aug,Thu
44421,2021,Qtr 3,Aug,Fri
44422,2021,Qtr 3,Aug,Sat
44423,2021,Qtr 3,Aug,Sun
44424,2021,Qtr 3,Aug,Mon
44425,2021,Qtr 3,Aug,Tue
44426,2021,Qtr 3,Aug,Wed
44427,2021,Qtr 3,Aug,Thu
44428,2021,Qtr 3,Aug,Fri
44429,2021,Qtr 3,Aug,Sat
44430,2021,Qtr 3,Aug,Sun
44431,2021,Qtr 3,Aug,Mon
44432,2021,Qtr 3,Aug,Tue
44433,2021,Qtr 3,Aug,Wed
44434,2021,Qtr 3,Aug,Thu
44435,2021,Qtr 3,Aug,Fri
44436,2021,Qtr 3,Aug,Sat
44437,2021,Qtr 3,Aug,Sun
44438,2021,Qtr 3,Aug,Mon
44439,2021,Qtr 3,Sep,Tue
44440,2021,Qtr 3,Sep,Wed
44441,2021,Qtr 3,Sep,Thu
44442,2021,Qtr 3,Sep,Fri
44443,2021,Qtr 3,Sep,Sat
44444,2021,Qtr 3,Sep,Sun
44445,2021,Qtr 3,Sep,Mon
44446,2021,Qtr 3,Sep,Tue
44447,2021,Qtr 3,Sep,Wed
44448,2021,Qtr 3,Sep,Thu
44449,2021,Qtr 3,Sep,Fri
44450,2021,Qtr 3,Sep,Sat
44451,2021,Qtr 3,Sep,Sun
44452,2021,Qtr 3,Sep,Mon
44453,2021,Qtr 3,Sep,Tue
44454,2021,Qtr 3,Sep,Wed
44455,2021,Qtr 3,Sep,Thu
44456,2021,Qtr 3,Sep,Fri
44457,2021,Qtr 3,Sep,Sat
44458,2021,Qtr 3,Sep,Sun
44459,2021,Qtr 3,Sep,Mon
44460,2021,Qtr 3,Sep,Tue
44461,2021,Qtr 3,Sep,Wed
44462,2021,Qtr 3,Sep,Thu
44463,2021,Qtr 3,Sep,Fri
44464,2021,Qtr 3,Sep,Sat
44465,2021,Qtr 3,Sep,Sun
44466,2021,Qtr 3,Sep,Mon
44467,2021,Qtr 3,Sep,Tue
44468,2021,Qtr 3,Sep,Wed
44469,2021,Qtr 4,Oct,Thu
44470,2021,Qtr 4,Oct,Fri
44471,2021,Qtr 4,Oct,Sat
44472,2021,Qtr 4,Oct,Sun
44473,2021,Qtr 4,Oct,Mon
44474,2021,Qtr 4,Oct,Tue
44475,2021,Qtr 4,Oct,Wed
44476,2021,Qtr 4,Oct,Thu
44477,2021,Qtr 4,Oct,Fri
44478,2021,Qtr 4,Oct,Sat
44479,2021,Qtr 4,Oct,Sun
44480,2021,Qtr 4,Oct,Mon
44481,2021,Qtr 4,Oct,Tue
44482,2021,Qtr 4,Oct,Wed
44483,2021,Qtr 4,Oct,Thu
44484,2021,Qtr 4,Oct,Fri
44485,2021,Qtr 4,Oct,Sat
44486,2021,Qtr 4,Oct,Sun
44487,2021,Qtr 4,Oct,Mon
44488,2021,Qtr 4,Oct,Tue
44489,2021,Qtr 4,Oct,Wed
44490,2021,Qtr 4,Oct,Thu
44491,2021,Qtr 4,Oct,Fri
44492,2021,Qtr 4,Oct,Sat
44493,2021,Qtr 4,Oct,Sun
44494,2021,Qtr 4,Oct,Mon
44495,2021,Qtr 4,Oct,Tue
44496,2021,Qtr 4,Oct,Wed
44497,2021,Qtr 4,Oct,Thu
